ID;Nombre;ID regra de impuestos;Precio impuestos incluidos;En oferta;Valor del descuento;Porcentaje de descuento;Descuento desde fecha;Descuento hasta fecha;Referencia Nº;Referencia Nº Proveedor;Precio impuestos excluidos;Marca;EAN13;UPC;Ecotasa;Anchura;Altura;Profundidad;Peso;Plazo de entrega con stock;Plazo de entrega sin stock;Cantidad;Cantidad minima;Nivel de stock bajo;Enviame un correo cuando stock bajo;Visible;Costo adicional de envio;Unidad precio;Precio unitario;Resumen;Descripcion larga;Etiquetas;Meta-titulo;meta-keywords;meta-descripcion;url-reescrita;etiqueta con stock;etiqueta en espera;disponible pedidos;fecha disponible;fecha creacion;mostrar precio;URL's de las imágenes;Texto alternativo;Elimine las imagenes existentes;Caracteristicas;Solo disponible por internet
;Afeitadora rotativa Philips s5420/04 sec/hum +precision 45m/1h trimmer 100-240v;1;977000;;;;;;EDPCPAS542004-RT;;;PHILIPS;8,7101E+12;;;135;19;7;4,49;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCPAS542004-RT.jpg;;;Marca:PHILIPS&Producto:AFEITADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;
;Afeitadora rotativa Philips s7310/12 sec/hum 50m/1h trimmer estuche 100-240v;1;1289000;;;;;;EDPCPAS731012;;;PHILIPS;8,7101E+12;;;175;245;18;192,94;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCPAS731012.jpg;;;Marca:PHILIPS&Producto:AFEITADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;
;Afeitadora rotativa pt860/14 dualprecision uso 50min en seco 5.4w 240v;1;583000;;;;;;EDPCAPT86014-RT;;;PHILIPS;8,7101E+12;;;134;188;7;44,09;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCAPT86014-RT.jpg;;;Marca:PHILIPS&Producto:AFEITADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;
;Alisador Philips bhs674/00 placa ceramica 10fun dig temp 220°c ion 240v;1;447000;;;;;;EDPCPPBHS67400-RT;;;PHILIPS;8,7101E+12;;;355;11;65;63,46;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCPPBHS67400-RT.jpg;;;Marca:PHILIPS&Producto:ALISADORES&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;
;Alisador Philips bhs380/00 placa ceramica 210°c iones func bloq 110-240v;1;282000;;;;;;EDPCPPBHS38000-RT;;;PHILIPS;8,7101E+12;;;32;11;65;5,72;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCPPBHS38000-RT.jpg;;;Marca:PHILIPS&Producto:ALISADORES&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;
;Alisador Philips bhs675/00 placa ceramica 11fun dig 230°c ion keratina 240v;1;531000;;;;;;EDPCPPBHS67500-RT;;;PHILIPS;8,7101E+12;;;355;11;65;63,46;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCPPBHS67500-RT.jpg;;;Marca:PHILIPS&Producto:ALISADORES&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;
;Alisador Philips hp8316/00 placa ceramica keratin ancha 210°c ion 240v;1;389000;;;;;;EDPCPPHP831600-RT;;;PHILIPS;8,7101E+12;;;6;12;34;0,61;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCPPHP831600-RT.jpg;;;Marca:PHILIPS&Producto:ALISADORES&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;
;Alisador Philips hp8321/00 placa turmalina 100mm temperatura 210°c 240v;1;182000;;;;;;EDPCPHP832100-RT;;;PHILIPS;8,7101E+12;;;311;86;65;434,62;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCPHP832100-RT.jpg;;;Marca:PHILIPS&Producto:ALISADORES&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;
;Alisador Philips hp8333/00 placa ceramica temp 140-220°c iones 110-240v;1;266000;;;;;;EDPCPPHP833300;;;PHILIPS;8,7101E+12;;;11;30;65;5,36;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCPPHP833300.jpg;;;Marca:PHILIPS&Producto:ALISADORES&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;
;Aporcador 24-45 cm;1;577000;;;;;;GFDU0117R2EA;;;DUCATI;;;;0;0;0;0;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/GFDU0117R2EA.jpg;;;Marca:DUCATI&Producto:PREPARACION DE SUELO&Segmento:CAMPO Y JARDIN&Vendedor:Sara Comercial;
;"Arado fijo 6""";1;739000;;;;;;GFDU0117B00SVA;;;DUCATI;;;;0;0;0;0;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/GFDU0117B00SVA.jpg;;;Marca:DUCATI&Producto:PREPARACION DE SUELO&Segmento:CAMPO Y JARDIN&Vendedor:Sara Comercial;
;Arrancapatatas patin regulable;1;612000;;;;;;GFDU0117R2PA;;;DUCATI;;;;0;0;0;0;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/GFDU0117R2PA.jpg;;;Marca:DUCATI&Producto:PREPARACION DE SUELO&Segmento:CAMPO Y JARDIN&Vendedor:Sara Comercial;
;Auricular Aiwa aw-a61bt-bk bt inalambrico mic negro;1;218000;;;;;;ELAWA61BTBK-RT;;;AIWA;7,45008E+12;;;8;215;185;79,55;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/ELAWA61BTBK-RT.jpg;;;Marca:AIWA&Producto:HEADPHONES&Segmento:TV/AUDIO/VIDEO&Vendedor:Sara Comercial;
;Atomizador Ducati dmd8300 e1;1;1594000;;;;;;GFDUDMD8300E1;;;DUCATI;8,43469E+12;;;44;83;57;52,04;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/GFDUDMD8300E1.jpg;;;Marca:DUCATI&Producto:CUIDADO Y LIMPIEZA&Segmento:CAMPO Y JARDIN&Vendedor:Sara Comercial;
