ID;Nombre;Precio impuestos incluidos;ID regla de impuestos;En oferta (0/1);Valor del descuento;Porcentaje de descuento;Descuento desde (aaaa-mm-dd);Descuento hasta (aaaa-mm-dd);Referencia nº;N° de referencia proveedor;Marca;EAN13;UPC;Ecotasa;Anchura;Altura;Profundidad;Peso;Cantidad;Cantidad mínima;Nivel de stock bajo;Envíame un mensaje de correo electrónico cuando la cantidad esté por debajo de este nivel;Visible en;Coste adicional del envío;Unidad para el precio unitario;Resumen;Descripción;Etiquetas (x,y,z...);Meta-título;Meta keywords;Meta descripción;URL reescrita;Disponible para pedidos (0 = No, 1 = Si);Fecha de disponibilidad del producto;Fecha de creación del producto;URL's de las imágenes (x,y,z...);Textos alternativos de imagen (x,y,z...);Elimine las imágenes existentes (0 = No, 1 = Si);Característica (Nombre:Valor:Posición:Personalizado);Estado;Destacado;
;Alisador philips hp8321/00 placa turmalina 100mm temperatura 210?c 240v;278000;1;0;;;;;EDPCPHP832100-RT;;PHILIPS;8710103751762;;;6,70;6,70;6,70;0,451748;50;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCPHP832100-RT.jpg;;;Marca:PHILIPS&Producto:ALISADORES&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial&Ancho:6.7  CM&Alto:8.7  CM&Largo:31  CM&Peso:1  GR;;;
;Alisador philips hp8316/00 placa ceramica keratin ancha 210?c ion 240v;404000;1;0;;;;;EDPCPPHP831600-RT;;PHILIPS;8710103717140;;;6,00;6,00;6,00;0,612000;0;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCPPHP831600-RT.jpg;;;Marca:PHILIPS&Producto:ALISADORES&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial&Ancho:6  CM&Alto:12  CM&Largo:34  CM&Peso:592  GR;;;
;Afeitadora rotativa philips s5420/04 sec/hum +precision 45m/1h trimmer 100-240v;1088000;1;0;;;;;EDPCPAS542004-RT;;PHILIPS;8710103742524;;;7,00;7,00;7,00;0,465500;5;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCPAS542004-RT.jpg;;;Marca:PHILIPS&Producto:AFEITADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial&Ancho:7  CM&Alto:19  CM&Largo:14  CM&Peso:404  GR;;;
;Afeitadora rotativa philips s9031/13 trimmer funda 100-240v;2015000;1;0;;;;;EDPCPAS903113;;PHILIPS;8710103688754;;;7,40;7,40;7,40;0,686720;0;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCPAS903113.jpg;;;Marca:PHILIPS&Producto:AFEITADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial&Ancho:7.4  CM&Alto:23.2  CM&Largo:16  CM&Peso:577  GR;;;
;Acondicionadores de aire mabe 18000tu mmt18;4169000;1;0;;;;;2;;MABE;;;;76,00;76,00;76,00;414,960000;50;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/AAMMT18CDBWCCMS81.jpg;;;Marca:MABE&Producto:AIRES SPLITS PARED&Segmento:CLIMATIZACION&Vendedor:Sara Comercial&Ancho:76  CM&Alto:120  CM&Largo:182  CM&Peso:51000  GR;;;
;Acondicionadores de aire mabe 24000tu mmt128;5817000;1;0;;;;;3;;MABE;;;;81,00;81,00;81,00;394,510500;50;;;;;;;;;;;;;;;;;;;;Marca:MABE&Producto:AIRES SPLITS PARED&Segmento:CLIMATIZACION&Vendedor:Sara Comercial&Ancho:81  CM&Alto:102  CM&Largo:191  CM&Peso:0  GR;;;
;Anafe realce cooktop atalanta 4h negro;587000;1;0;;;;;COREATVITRO26753-BK;;REALCE;7899639799460;;;49,00;49,00;49,00;10,976000;20;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDREAC26753.jpg;;;Marca:REALCE&Producto:ANAFE DE EMPOTRAR&Segmento:COCCION&Vendedor:Sara Comercial&Ancho:49  CM&Alto:16  CM&Largo:56  CM&Peso:0  GR;;;
;Alisador philips bhs674/00 placa ceramica 10fun dig temp 220?c ion 240v;462000;1;0;;;;;EDPCPPBHS67400-RT;;PHILIPS;8710103769279;;;6,20;6,20;6,20;0,605275;20;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCPPBHS67400-RT.jpg;;;Marca:PHILIPS&Producto:ALISADORES&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial&Ancho:6.2  CM&Alto:11  CM&Largo:35.5  CM&Peso:1  GR;;;
;Alisador philips bhs675/00 placa ceramica 11fun dig 230?c ion keratina 240v;546000;1;0;;;;;EDPCPPBHS67500-RT;;PHILIPS;8710103769361;;;6,30;6,30;6,30;0,615038;20;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCPPBHS67500-RT.jpg;;;Marca:PHILIPS&Producto:ALISADORES&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial&Ancho:6.3  CM&Alto:11  CM&Largo:35.5  CM&Peso:1  GR;;;
;Afeitadora philips qp2521/10 oneblade uso rostro seco humedo 2 acc 240v;349000;1;0;;;;;EDPCAQP252110-RT;;PHILIPS;8710103890386;;;10,00;10,00;10,00;0,337500;0;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCAQP252110-RT.jpg;;;Marca:PHILIPS&Producto:AFEITADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial&Ancho:10  CM&Alto:18  CM&Largo:7.5  CM&Peso:241  GR;;;
