ID;Nombre;ID regra de impuestos;Precio impuestos incluidos;En oferta;Valor del descuento;Porcentaje de descuento;Descuento desde fecha;Descuento hasta fecha;Referencia Nº;Referencia Nº Proveedor;Precio impuestos excluidos;Marca;EAN13;UPC;Ecotasa;Anchura;Altura;Profundidad;Peso;Plazo de entrega con stock;Plazo de entrega sin stock;Cantidad;Cantidad minima;Nivel de stock bajo;Enviame un correo cuando stock bajo;Visible;Costo adicional de envio;Unidad precio;Precio unitario;Resumen;Descripcion larga;Etiquetas;Meta-titulo;meta-keywords;meta-descripcion;url-reescrita;etiqueta con stock;etiqueta en espera;disponible pedidos;fecha disponible;fecha creacion;mostrar precio;URL's de las imágenes;Texto alternativo;Elimine las imagenes existentes;Caracteristicas;Solo disponible por internet;
;Congelador horizontal Mabe fmm200 1 tapa 200l blanco;1;1387000;;;;;;CGMFMM200HSYBB4;;;MABE;757638358118;;;77,00;88,50;54,50;92,85;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/CGMFMM200HSYBB4.jpg;;;Marca:MABE&Producto:CONGELADORES HORIZONTALES&Segmento:REFRIGERACION&Vendedor:Sara Comercial;;
;Congelador horizontal Mabe fmm200 1 tapa 200l blanco;1;1387000;;;;;;CGMFMM200HSYBB3;;;MABE;;;;72,00;84,50;55,00;83,66;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/CGMFMM200HSYBB3.jpg;;;Marca:MABE&Producto:CONGELADORES HORIZONTALES&Segmento:REFRIGERACION&Vendedor:Sara Comercial;;
;Congelador horizontal Mabe fmm250 1 tapa 250l blanco;1;1944000;;;;;;CGMFMM250HSYBB3;;;MABE;757638610971;;;98,50;88,50;54,70;119,21;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/CGMFMM250HSYBB3.jpg;;;Marca:MABE&Producto:CONGELADORES HORIZONTALES&Segmento:REFRIGERACION&Vendedor:Sara Comercial;;
;Congelador horizontal Mabe fmm350 1 tapa 350l blanco;1;2253000;;;;;;CGMFMM350HSBSY0;;;MABE;757638352604;;;110,00;84,50;74,50;173,12;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/CGMFMM350HSBSY0.jpg;;;Marca:MABE&Producto:CONGELADORES HORIZONTALES&Segmento:REFRIGERACION&Vendedor:Sara Comercial;;
;Cortabarba Philips bt3216/14 cuchillas inox 60m/1h 20 pos 1 acc 240v;1;384000;;;;;;EDPCPBT321614-RT;;;PHILIPS;8710103844136;;;14,00;22,40;7,00;0,55;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCPBT321614-RT.jpg;;;Marca:PHILIPS&Producto:CORTAPELOS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;;
;Cortabarba Philips bt5502/15 cuchillas inox 40 posiciones bat 220v;1;465000;;;;;;EDPCBT550215-RT;;;PHILIPS;8710103885566;;;14,00;22,40;7,00;0,55;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCBT550215-RT.jpg;;;Marca:PHILIPS&Producto:CORTAPELOS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;;
;Cortabarba Philips bt7201/15 sistema de aspiracion cuchilla inox bat 220v;1;610000;;;;;;EDPCBT720115-RT;;;PHILIPS;8710103769064;;;14,00;24,50;7,00;0,60;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCBT720115-RT.jpg;;;Marca:PHILIPS&Producto:CORTAPELOS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;;
;Cortacesped Ducati a transmision dlm5300 530;1;2450000;;;;;;GFDUCTDLM32530;;;DUCATI;8434691008762;;;57,00;48,00;93,00;96,00;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/GFDUCTDLM32530.jpg;;;Marca:DUCATI&Producto:CUIDADO Y LIMPIEZA&Segmento:CAMPO Y JARDIN&Vendedor:Sara Comercial;;
;Cortacesped Ducati dlm5100t;1;1478000;;;;;;GFDUCDLM5100T;;;DUCATI;8435478267006;;;56,00;37,00;73,00;37,81;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/GFDUCDLM5100T.jpg;;;Marca:DUCATI&Producto:CUIDADO Y LIMPIEZA&Segmento:CAMPO Y JARDIN&Vendedor:Sara Comercial;;
;Cortapelo facial Philips nt3160/10 lavable 3 posiciones 2 acc funda pila aa;1;151000;;;;;;EDPCNT316010-RT;;;PHILIPS;8710103717652;;;10,00;21,00;4,10;0,22;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCNT316010-RT.jpg;;;Marca:PHILIPS&Producto:CORTAPELOS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;;
;Cuchilla reemplazable oneblade mod qp210 pack de 1;1;136000;;;;;;QP2510001;;;PHILIPS;8710103797852;;;10,00;11,00;2,20;0,06;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/QP2510/001.jpg;;;Marca:PHILIPS&Producto:AFEITADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;;
;Cuchillo electrico b+d ek500w-cl cuc inox bot c/seg mango comfort 100w220v;1;115000;;;;;;EDBCEEK500WCL-RT;;;BLACK & DECKER;050875819054;;;9,00;7,00;30,00;0,70;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDBCEEK500WCL-RT.jpg;;;Marca:BLACK & DECKER&Producto:CUCHILLOS ELECTRICOS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;
;Depiladora Philips bre255/00 opti-light 3 acc piernas 2vl cable 220v;1;439000;;;;;;EDPCBRE25500-RT;;;PHILIPS;8710103883975;;;17,80;18,50;6,00;0,49;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCBRE25500-RT.jpg;;;Marca:PHILIPS&Producto:DEPILADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;;
;Depiladora Philips bre285/00 opti-light 7 acc piernas 2vl cable 220v;1;597000;;;;;;EDPCBRE28500-RT;;;PHILIPS;8710103884095;;;17,80;18,50;6,00;0,49;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCBRE28500-RT.jpg;;;Marca:PHILIPS&Producto:DEPILADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;;
;Depiladora Philips bre605/00 sistema de pinzas ceramic 40m/1h carga 2 vel 15v;1;612000;;;;;;EDPCPDBRE60500-RT;;;PHILIPS;8710103856245;;;15,60;20,00;27,80;2,17;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCPDBRE60500-RT.jpg;;;Marca:PHILIPS&Producto:DEPILADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;;
;Depiladora Philips bre620/00 sistema de pinzas 40m/1h carga 2 vel 3 acc 15v;1;678000;;;;;;EDPCPDBRE62000-RT;;;PHILIPS;8710103771630;;;14,80;18,50;6,50;0,47;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCPDBRE62000-RT.jpg;;;Marca:PHILIPS&Producto:DEPILADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;;
