ID;Nombre;ID regra de impuestos;Precio impuestos incluidos;En oferta;Valor del descuento;Porcentaje de descuento;Descuento desde fecha;Descuento hasta fecha;Referencia Nº;Referencia Nº Proveedor;Precio impuestos excluidos;Marca;EAN13;UPC;Ecotasa;Anchura;Altura;Profundidad;Peso;Plazo de entrega con stock;Plazo de entrega sin stock;Cantidad;Cantidad minima;Nivel de stock bajo;Enviame un correo cuando stock bajo;Visible;Costo adicional de envio;Unidad precio;Precio unitario;Resumen;Descripcion larga;Etiquetas;Meta-titulo;meta-keywords;meta-descripcion;url-reescrita;etiqueta con stock;etiqueta en espera;disponible pedidos;fecha disponible;fecha creacion;mostrar precio;URL's de las imágenes;Texto alternativo;Elimine las imagenes existentes;Caracteristicas;Solo disponible por internet;
;Hervidora Philips hd9351/90 1/7l ind niv agua fil p/sarro inox 2200w220v;1;374000;;;;;;EDPJHD935190;;;PHILIPS;8710103828693;;;22,80;25,20;19,80;2,84;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPJHD935190.jpg;;;Marca:PHILIPS&Producto:JARRAS ELECTRICAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;
;Hidrolavadora Ducati dpw1800;1;1012000;;;;;;GFDUHDPW1800;;;DUCATI;8435389587439;;;27,80;69,00;34,10;16,35;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/GFDUHDPW1800.jpg;;;Marca:DUCATI&Producto:HIDROLAVADORAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;
;Horno de conveccion electrico b+d to3210ssd-cl 26l 1500w;1;457000;;;;;;EDBDTO3210SSDCL-RT;;;BLACK & DECKER;050875821040;;;1,00;1,00;1,00;0,00;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDBDTO3210SSDCL-RT.jpg;;;Marca:BLACK & DECKER&Producto:HORNOS DE MESA&Segmento:COCCION&Vendedor:Sara Comercial;;
;Juguera Philips hr1811/70 dep/pulpa 1/5l jar p/zum 500ml 1vel 400w220v;1;495000;;;;;;EDPHEXJHR181170;;;PHILIPS;;;;47,00;33,00;23,20;9,00;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPHEXJHR1811/70.jpg;;;Marca:PHILIPS&Producto:JUGUERAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;
;Juguera Philips hr-1854/04 dep p/pulpa 1500ml jarra p/zumo 700ml 2vel 550w 220v;1;590000;;;;;;EDPHEXJHR185404;;;PHILIPS;8710103608035;;;37,60;41,60;26,60;10,40;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPHEXJHR185404.jpg;;;Marca:PHILIPS&Producto:JUGUERAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;
;Juguera Philips hr1854/04 dep p/pulpa 1500ml jarra p/zumo 700ml 2vel 550w 220v;1;590000;;;;;;EDPEXJHR185404;;;PHILIPS;8710103784111;;;37,60;41,60;26,60;10,40;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPEXJHR185404.jpg;;;Marca:PHILIPS&Producto:JUGUERAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;
;Juguera Philips hr1855/72 dep/pulpa 2l jar zumo 800ml 1v boca xl 700w220v;1;761000;;;;;;EDPHEXJHR185572;;;PHILIPS;8710103728740;;;25,50;45,70;25,50;7,43;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPHEXJHR185572.jpg;;;Marca:PHILIPS&Producto:JUGUERAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;
;Juguera Philips hr-1863/20 dep/pulpa 1/2l jar p/zum 800ml boc 75mm 1vel 700w220v;1;810000;;;;;;EDPEXJHR186320;;;PHILIPS;;;;25,50;45,70;25,50;7,43;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPEXJHR186320.jpg;;;Marca:PHILIPS&Producto:JUGUERAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;
;Juguera Philips hr1922/20 boca xxl deposito 1l  2v 1000w220v;1;1681000;;;;;;EDPHEXJHR192220-RT;;;PHILIPS;8710103777380;;;27,00;38,00;14,00;3,59;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPHEXJHR192220-RT.jpg;;;Marca:PHILIPS&Producto:JUGUERAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;
;Kit jardin Ducati dbc3300m;1;1772000;;;;;;GFDUDBC3300M;;;DUCATI;8435478261875;;;28,00;29,20;113,00;23,10;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/GFDUDBC3300M.jpg;;;Marca:DUCATI&Producto:CUIDADO Y LIMPIEZA&Segmento:CAMPO Y JARDIN&Vendedor:Sara Comercial;;
;Lavarropa automatico Mabe lma79115 19kg carga superior blanco;1;3240000;;;;;;EDMLMA79115CBCS;;;MABE;;;;73,32;118,11;72,39;156,72;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDMLMA79115CBCS.JPG;;;Marca:MABE&Producto:LAVARROPAS SUPERAUTOMATICO&Segmento:LAVADO/SECADO&Vendedor:Sara Comercial;;
;Lavarropa automatico Mabe wma79112 19kg carga superior blanco;1;3038000;;;;;;EDMWMA79112CBCS0;;;MABE;757638360159;;;73,32;118,11;72,39;156,72;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDMWMA79112CBCS0.jpg;;;Marca:MABE&Producto:LAVARROPAS SUPERAUTOMATICO&Segmento:LAVADO/SECADO&Vendedor:Sara Comercial;;
;Lavarropas automatico Mabe lma8020 8kgs carga superior blanco;1;1620000;;;;;;EDMLMA8020WBCL0-RT;;;MABE;757638972987;;;52,00;91,80;50,00;59,67;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDMLMA8020WBCL0-RT.jpg;;;Marca:MABE&Producto:LAVARROPAS SUPERAUTOMATICO&Segmento:LAVADO/SECADO&Vendedor:Sara Comercial;;
;Lavarropas automatico Mabe 10.2kgs carga frontal blanco;1;2815000;;;;;;EDMLMC1086XBBY-RT;;;MABE;757638347532;;;65,00;89,00;69,50;100,51;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDMLMC1086XBBY-RT.jpg;;;Marca:MABE&Producto:LAVARROPAS SUPERAUTOMATICO&Segmento:LAVADO/SECADO&Vendedor:Sara Comercial;;
;Lavarropas automatico Mabe 20kgs mod lmh70203s carga superior blanco;1;3544000;;;;;;EDMLMH70203SBCS;;;MABE;;;;68,00;111,63;67,80;128,66;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDMLMH70203SBCS.jpg;;;Marca:MABE&Producto:LAVARROPAS SUPERAUTOMATICO&Segmento:LAVADO/SECADO&Vendedor:Sara Comercial;;
;Lavarropas automatico Mabe 6kgs carga frontal blanco;1;1762000;;;;;;EDMLMC0686XBBY-RT;;;MABE;757638347518;;;64,00;89,00;53,00;75,47;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDMLMC0686XBBY-RT.jpg;;;Marca:MABE&Producto:LAVARROPAS SUPERAUTOMATICO&Segmento:LAVADO/SECADO&Vendedor:Sara Comercial;;
;Lavarropas automatico Mabe 8kgs carga frontal blanco;1;2408000;;;;;;EDMLMC0886XBBY-RT;;;MABE;757638347525;;;65,00;89,00;65,00;94,01;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDMLMC0886XBBY-RT.jpg;;;Marca:MABE&Producto:LAVARROPAS SUPERAUTOMATICO&Segmento:LAVADO/SECADO&Vendedor:Sara Comercial;;
;Licuadora b+d blbd210gt-cl jarra de vidrio 10 velocidades 550w;1;204000;;;;;;EDBLBD210GTCL-RT;;;BLACK & DECKER;050875824737;;;25,20;34,30;21,60;4,67;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDBLBD210GTCL-RT.jpg;;;Marca:BLACK & DECKER&Producto:LICUADORAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;
;Licuadora black&decker bl4000r-ar jar acril 2l vas 30ml forro frio 4fun 600w220v;1;691000;;;;;;EDBDLBL4000RAR;;;BLACK & DECKER;050875815773;;;20,50;39,00;29,70;5,94;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDBDLBL4000RAR.jpg;;;Marca:BLACK & DECKER&Producto:LICUADORAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;
;Licuadora Philips hr2100/00 jar acril refor 1/5l 2vel+tur problend4 400w220v;1;295000;;;;;;EDPHLHR210000-RT;;;PHILIPS;8710103594918;;;22,00;23,80;33,20;4,35;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPHLHR210000-RT.jpg;;;Marca:PHILIPS&Producto:LICUADORAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;
;Licuadora Philips hr2102/00 jar acril 1/5l 2vel+tur problend4 pic 400w220v;1;374000;;;;;;EDPHLHR210200-RT;;;PHILIPS;8710103612254;;;22,00;23,80;33,20;4,35;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPHLHR210200-RT.jpg;;;Marca:PHILIPS&Producto:LICUADORAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;
;Licuadora b+d bl1820sgm-cl panel dig 4v+pul jar vid 1/5l vas 700w220v;1;347000;;;;;;EDBLBL1820SGMCL-RT;;;BLACK & DECKER;050875813106;;;34,80;20,80;26,40;4,78;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDBLBL1820SGMCL-RT.jpg;;;Marca:BLACK & DECKER&Producto:LICUADORAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;
;Licuadora Philips hr2104/00 jar acril 1/5l 2vel+tur problend4 pic fil 400w220v;1;462000;;;;;;EDPHLHR210400-RT;;;PHILIPS;8710103612414;;;28,10;23,80;32,50;5,43;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPHLHR210400-RT.jpg;;;Marca:PHILIPS&Producto:LICUADORAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;
;Licuadora personal fusion blade b+d mod pb22340-cl 250w c accesorios;1;253000;;;;;;EDBDPB22340CL-RT;;;BLACK & DECKER;050875816831;;;1,00;1,00;1,00;0,00;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDBDPB22340CL-RT.jpg;;;Marca:BLACK & DECKER&Producto:LICUADORAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;
;Licuadora Philips hr2105/00 jar vidrio 1/5l 2vel+tur problend4 400w220v;1;418000;;;;;;EDPHLHR210500-RT;;;PHILIPS;8710103612476;;;35,80;26,50;21,50;5,10;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPHLHR210500-RT.jpg;;;Marca:PHILIPS&Producto:LICUADORAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;
;Licuadora Philips hr2105/00 jar vidrio 1/5l 2vel+tur problend4 400w220v;1;418000;;;;;;EDPHLHR210500-RT;;;PHILIPS;8710103612476;;;35,80;26,50;21,50;5,10;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPHLHR210500-RT.jpg;;;Marca:PHILIPS&Producto:LICUADORAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;
;Licuadora Philips hr2105/50 jar vidrio 1/5l 2vel+tur problend4 400w220v;1;463000;;;;;;EDPHLHR210550-RT;;;PHILIPS;8710103696018;;;35,80;26,50;21,50;5,10;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPHLHR210550-RT.jpg;;;Marca:PHILIPS&Producto:LICUADORAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;
;Licuadora Philips hr2105/50 jar vidrio 1/5l 2vel+tur problend4 400w220v;1;463000;;;;;;EDPHLHR210550-RT;;;PHILIPS;8710103696018;;;35,80;26,50;21,50;5,10;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPHLHR210550-RT.jpg;;;Marca:PHILIPS&Producto:LICUADORAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;
;Licuadora Philips hr2106/90 jar vidrio 1/5l 2vel+tur problend4 pic 400w220v;1;473000;;;;;;EDPHLHR210690-RT;;;PHILIPS;8710103612568;;;35,80;26,50;21,50;5,10;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPHLHR210690-RT.jpg;;;Marca:PHILIPS&Producto:LICUADORAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;
;Licuadora Philips hr2134/00 jar acril 2/4l 5v problend6 700w220v;1;495000;;;;;;EDPHLHR213400-RT;;;PHILIPS;8710103821519;;;24,60;36,70;25,00;5,64;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPHLHR213400-RT.jpg;;;Marca:PHILIPS&Producto:LICUADORAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;
;Licuadora Philips hr2134/90 jar acril 2/4l 5v problend6 700w220v;1;495000;;;;;;EDPHLHR213490-RT;;;PHILIPS;8710103821526;;;24,60;36,70;25,00;5,64;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPHLHR213490-RT.jpg;;;Marca:PHILIPS&Producto:LICUADORAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;
;Licuadora Philips hr2135/90 jar acril 2/4l 5v+pul problend6 800w220v;1;554000;;;;;;EDPHLHR213590-RT;;;PHILIPS;8710103809302;;;24,60;36,70;25,00;5,64;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPHLHR213590-RT.jpg;;;Marca:PHILIPS&Producto:LICUADORAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;
;Licuadora Philips hr2139/80 jar acril 2l 12v+pul inox problend6 800w220v;1;752000;;;;;;EDPHLHR213980-RT;;;PHILIPS;8710103778776;;;24,60;40,20;28,80;7,12;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPHLHR213980-RT.jpg;;;Marca:PHILIPS&Producto:LICUADORAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;
;Licuadora Philips hr3652/00 jar vidrio problend6 3d inox 1400w220v;1;1124000;;;;;;EDPHLHR365200-RT;;;PHILIPS;8710103825944;;;31,00;43,50;21,00;7,08;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPHLHR365200-RT.jpg;;;Marca:PHILIPS&Producto:LICUADORAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;
;Licuadora Philips walita ri2110/90 2v problend 4 550w220v;1;207000;;;;;;EDPLRI211090-RT;;;PHILIPS;8710103911692;;;22,80;31,90;17,10;3,11;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPLRI211090-RT.jpg;;;Marca:PHILIPS&Producto:LICUADORAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;
;Licuadora Philips walita ri2110/90 2v problend 4 550w220v;1;207000;;;;;;EDPLRI211090-RT;;;PHILIPS;8710103911692;;;22,80;31,90;17,10;3,11;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPLRI211090-RT.jpg;;;Marca:PHILIPS&Producto:LICUADORAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;
;Microondas Mabe mei1174zjss 30l digital con grill silver;1;708000;;;;;;EDMEI1174ZJSS-RT;;;MABE;757638347419;;;51,30;30,70;43,00;16,93;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDMEI1174ZJSS-RT.jpg;;;Marca:MABE&Producto:MICROONDAS DE MESA&Segmento:COCCION&Vendedor:Sara Comercial;;
;Mixer de inmersion b+d mod hb24710-cl 500ml 700w;1;311000;;;;;;EDBDHB24710CL-RT;;;BLACK & DECKER;050875824782;;;1,00;1,00;1,00;0,00;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDBDHB24710CL-RT.jpg;;;Marca:BLACK & DECKER&Producto:BATIDORAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;
;Mixer Philips hr1604/00 1vel brazo inox vaso med 500ml 550w220v;1;305000;;;;;;EDPBMHR160400-RT;;;PHILIPS;8710103620259;;;11,00;42,00;11,00;1,34;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPBMHR160400-RT.jpg;;;Marca:PHILIPS&Producto:BATIDORAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;
;Mixer Philips hr1623/00 2vel+tur brz inox vas med 500ml pic 650w220v;1;442000;;;;;;EDPBMHR162300-RT;;;PHILIPS;8710103673682;;;11,00;42,00;22,00;2,54;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPBMHR162300-RT.jpg;;;Marca:PHILIPS&Producto:BATIDORAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;
;Mixer Philips hr1627/00 2vel+tur brz inox vas med 500ml pic bat 650w220v;1;526000;;;;;;EDPHBMHR162700-RT;;;PHILIPS;8710103673705;;;25,00;28,00;25,00;4,38;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPHBMHR162700-RT.jpg;;;Marca:PHILIPS&Producto:BATIDORAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;
;Mochila fumigacion manual Ducati dhs2000;1;364000;;;;;;GFDUDHS2000;;;DUCATI;8434691036260;;;25,00;49,00;38,00;11,64;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/GFDUDHS2000.jpg;;;Marca:DUCATI&Producto:CUIDADO Y LIMPIEZA&Segmento:CAMPO Y JARDIN&Vendedor:Sara Comercial;;
;Motobomba Ducati dcw50 agua limpia 2;1;1063000;;;;;;GFDUDCW50;;;DUCATI;8435478227680;;;40,00;41,00;48,00;19,68;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/GFDUDCW50.jpg;;;Marca:DUCATI&Producto:MOTOBOMBAS&Segmento:MAQUINARIAS&Vendedor:Sara Comercial;;
;Motosierra Ducati dcs2600;1;1103000;;;;;;GFDUDCS2600;;;DUCATI;8435478238266;;;31,50;28,00;54,00;11,91;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/GFDUDCS2600.jpg;;;Marca:DUCATI&Producto:CUIDADO Y LIMPIEZA&Segmento:CAMPO Y JARDIN&Vendedor:Sara Comercial;;
;Mixer Philips walita ri1604/00 plastico 1v c/vaso 250w220v;1;231000;;;;;;EDPBMRI160400;;;PHILIPS;8710103911661;;;11,50;17,00;22,00;1,08;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPBMRI160400.jpg;;;Marca:PHILIPS&Producto:BATIDORAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;
;Motosierra Ducati dcs5500r;1;1427000;;;;;;GFDUDCS5500R;;;DUCATI;8435478265118;;;49,00;34,00;56,90;23,70;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/GFDUDCS5500R.jpg;;;Marca:DUCATI&Producto:CUIDADO Y LIMPIEZA&Segmento:CAMPO Y JARDIN&Vendedor:Sara Comercial;;
;Multiprocesadora Philips walita ri7630/90 2v+pul 1/3l 21 fun jar lic 600w220v;1;592000;;;;;;EDPHPRI763090-RT;;;PHILIPS;8710103785491;;;45,40;35,90;51,30;20,90;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPHPRI763090-RT.jpg;;;Marca:PHILIPS&Producto:PROCESADORES&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;
;Olla a presion aluminio b+d mod pc500 5,5l;1;267000;;;;;;EDBDPC500;;;BLACK & DECKER;050875528444;;;1,00;1,00;1,00;0,00;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDBDPC500.jpg;;;Marca:BLACK & DECKER&Producto:UTENSILIOS PARA COCINAR&Segmento:BAZAR&Vendedor:Sara Comercial;;
;Ondulador Philips hp8607/00 25mm 200°c ceramica keratina 110-240v;1;235000;;;;;;EDPOHP860700-RT;;;PHILIPS;;;;5,50;10,50;36,80;0,53;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPOHP860700-RT.jpg;;;Marca:PHILIPS&Producto:ONDULADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;;
;Ondulador Philips bhb862/00 cilindro 16mm ceramica 200°c 220v;1;177000;;;;;;EDPCBHB86200-RT;;;PHILIPS;8710103819462;;;36,80;10,50;5,50;0,53;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCBHB86200-RT.jpg;;;Marca:PHILIPS&Producto:ONDULADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;;
;Parlante activo Aiwa aw-f360-bk bt 50w rms negro;1;800000;;;;;;ELAWF360BK-RT;;;AIWA;7450078489284;;;21,80;35,10;21,80;4,17;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/ELAWF360BK-RT.jpg;;;Marca:AIWA&Producto:PARLANTES ACT. BATERIA&Segmento:TV/AUDIO/VIDEO&Vendedor:Sara Comercial;;
;Parlante activo Aiwa aw-hd200bt m/media bt 10w rms fm mic;1;374000;;;;;;ELAWHD200BT-RT;;;AIWA;7450078489277;;;17,80;35,00;25,40;3,96;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/ELAWHD200BT-RT.jpg;;;Marca:AIWA&Producto:PARLANTES ACT. BATERIA&Segmento:TV/AUDIO/VIDEO&Vendedor:Sara Comercial;;
;Parlante activo Aiwa aw-mpro15 multimedia 3000w pmpo c/pie bt usb fm mic;1;1822000;;;;;;ELAWMPRO15-RT;;;AIWA;7450078489949;;;49,50;83,00;54,50;55,98;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/ELAWMPRO15-RT.jpg;;;Marca:AIWA&Producto:PARLANTES ACT. ELECTRICOS&Segmento:TV/AUDIO/VIDEO&Vendedor:Sara Comercial;;
;Parlante activo Aiwa aw-poc10 mmedia bt usb eq 2500w pmpo;1;1728000;;;;;;ELAWPOC10-RT;;;AIWA;7450078489758;;;40,20;43,00;116,20;50,22;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/ELAWPOC10-RT.jpg;;;Marca:AIWA&Producto:PARLANTES ACT. ELECTRICOS&Segmento:TV/AUDIO/VIDEO&Vendedor:Sara Comercial;;
;Parlante activo Aiwa aw-pok3 multimedia 50x2w/bt/usb/fm/bat 12v;1;1174000;;;;;;ELAWPOK3-RT;;;AIWA;7453041029593;;;35,50;71,50;35,00;22,21;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/ELAWPOK3-RT.jpg;;;Marca:AIWA&Producto:PARLANTES ACT. BATERIA&Segmento:TV/AUDIO/VIDEO&Vendedor:Sara Comercial;;
;Parlante activo Aiwa aw-sp06m multimedia 800w pmpo sd bt aux;1;648000;;;;;;ELAWSP06M-RT;;;AIWA;7450078489147;;;25,50;47,20;36,00;10,83;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/ELAWSP06M-RT.jpg;;;Marca:AIWA&Producto:PARLANTES ACT. BATERIA&Segmento:TV/AUDIO/VIDEO&Vendedor:Sara Comercial;;
;Parlante activo Aiwa aw-sp10m2 multimedia altavoz 10x2 3000w pmpo;1;1519000;;;;;;ELAWSP10M2-RT;;;AIWA;7453041029579;;;34,00;39,50;85,50;28,71;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/ELAWSP10M2-RT.jpg;;;Marca:AIWA&Producto:PARLANTES ACT. BATERIA&Segmento:TV/AUDIO/VIDEO&Vendedor:Sara Comercial;;
;Parlante activo Aiwa aw-sp15m multimedia 15 1000w pmpo c/pie radio fm;1;1215000;;;;;;ELAWSP15M-RT;;;AIWA;7453041029586;;;40,80;48,80;74,90;37,28;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/ELAWSP15M-RT.jpg;;;Marca:AIWA&Producto:PARLANTES ACT. BATERIA&Segmento:TV/AUDIO/VIDEO&Vendedor:Sara Comercial;;
;Parlante Aiwa aw-pok5 multimedia 400w aux/mic/bt/usb/mp3/fm;1;815000;;;;;;ELAWPOK5-RT;;;AIWA;7450078489154;;;23,40;54,00;23,40;7,39;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/ELAWPOK5-RT.jpg;;;Marca:AIWA&Producto:PARLANTES ACT. BATERIA&Segmento:TV/AUDIO/VIDEO&Vendedor:Sara Comercial;;
;Parlante Aiwa aw-pok4 multimedia 600w aux/mic/bt/usb/mp3/fm;1;972000;;;;;;ELAWPOK4-RT;;;AIWA;7450078489079;;;65,20;32,20;33,60;17,64;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/ELAWPOK4-RT.jpg;;;Marca:AIWA&Producto:PARLANTES ACT. BATERIA&Segmento:TV/AUDIO/VIDEO&Vendedor:Sara Comercial;;
;Parlante Aiwa aw-s800btbk bt w/proof fuc. tws/usb (ch) -25w;1;708000;;;;;;ELAWS800BTB-RT;;;AIWA;;;;17,00;39,50;21,00;3,53;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/ELAWS800BTB-RT.JPG;;;Marca:AIWA&Producto:SPEAKER&Segmento:TV/AUDIO/VIDEO&Vendedor:Sara Comercial;;
