X;ID;Codigo;Alternativo;EAN;Stock;Descripcion;Marca;Categoria;Division;Precio;
etl.bascs.impala.clases.Producto@2a38a0ae;124;EDPHPHR762700;PH42;8710103583660;0;PROCESADORA PHILIPS HR-7627/00 2VEL+TUR BOL 2L CUCHI INOX ACCE+ 15 FUNC 650W220V;PHILIPS;PROCESADORES;PEQUEÑOS ELECTRODOMESTICOS;530.000;
etl.bascs.impala.clases.Producto@b395d09;125;EDPQGC02600-RT;PH285;8710103658283;50;QUITA PELUSAS PHILIPS GC026/00 ELECTRICO TODO TIPO ROPA PILA AA;PHILIPS;QUITAPELUSAS DE ROPA;PEQUEÑOS ELECTRODOMESTICOS;135.000;
etl.bascs.impala.clases.Producto@467cf5d3;126;EDPCSBHC01010-RT;PH283;8710103897606;5;SECADOR DE PELO PHILIPS BHC010/10 3 VEL PARA VIAJE 1200W 220V;PHILIPS;SECADORES DE CABELLO;CUIDADO PERSONAL;148.000;
etl.bascs.impala.clases.Producto@6d05e46d;127;EDPCBHH81100-RT;PH263;8710103814436;50;SET PHILIPS BHH811/00 ALISADOR + ONDULADOR 5 ACC 210?C CERAMIC 220V;PHILIPS;COMBOS;CUIDADO PERSONAL;390.000;
etl.bascs.impala.clases.Producto@2d714b3;128;EDPHSMHR220380-RT;PH150;8710103796985;50;SOUP MAKER PHILIPS HR2203/80 JAR INOX 1/2L 4RACION 5PROG LICUA MANUAL 1000W220V;PHILIPS;LICUADORAS;PEQUEÑOS ELECTRODOMESTICOS;1.020.000;
etl.bascs.impala.clases.Producto@43c7d0f5;129;TVAW32B4SM-RT;AW65;7453041022938;0;TELEVISOR AIWA AW-32B4SM D-ISDB-T SMART HD C/DOLBY HDMI/USB/VGA/AUD IN/RMS Bt.;AIWA;LEDS;TV/AUDIO/VIDEO;1.870.000;
etl.bascs.impala.clases.Producto@62b47733;130;TVAW39B4SM-RT;AW78;7453041022945;50;TELEVISOR AIWA AW-39B4SM ISDB-T SMART HD GOOGLE TV ANDROID C/DOLBY HDMI/USB/RMS;AIWA;LEDS;TV/AUDIO/VIDEO;2.350.000;
etl.bascs.impala.clases.Producto@2050d184;131;TVAW50B4K-RT;AW67;7450078489239;50;TELEVISOR AIWA AW-50B4K D-ISDB-T SMART 4K UHD C/DOLBY HDMI/USB/VGA/AUDIO IN/RMS;AIWA;LEDS;TV/AUDIO/VIDEO;3.920.000;
etl.bascs.impala.clases.Producto@1a983bb1;132;TVAW58B4K-RT;AW69;7453041022983;20;TELEVISOR AIWA AW-58B4K D-ISDB-T SMART 4K UHD C/DOLBY HDMI/USB/WIFI/AUDIO IN;AIWA;LEDS;TV/AUDIO/VIDEO;4.480.000;
etl.bascs.impala.clases.Producto@6725006f;133;TVAW65B4K-RT;AW70;7450078489260;5;TELEVISOR AIWA AW-65B4K D-ISDB-T SMART 4K UHD C/DOLBY HDMI/USB/WIFI/AUDIO IN;AIWA;LEDS;TV/AUDIO/VIDEO;5.300.000;
etl.bascs.impala.clases.Producto@26e9fe57;134;ELAWPOV2-RT;AW22;7453041029890;0;TORRE DE SONIDO AIWA AW-POV2 200W RMS DJ ON TOP BT/USB/AUX/MIC/EQ;AIWA;PARLANTES ACT. ELECTRICOS;TV/AUDIO/VIDEO;1.450.000;
etl.bascs.impala.clases.Producto@13d7ff;135;EDPVRGC51820-RT;PH224;8710103852704;50;VAPORIZADOR DE ROPA PHILIPS GC518/20 32G/M PLACA XL 5 AJU VAPOR 1/6L 1600W220V;PHILIPS;PLANCHAS DE ROPA;PEQUEÑOS ELECTRODOMESTICOS;950.000;
