X;ID;Codigo;Alternativo;EAN;Stock;Descripcion;Marca;Categoria;Division;Precio;
etl.bascs.impala.clases.Producto@52e4dca1;62;COREAIRPL26779-W;RE63;7899639799538;20;COCINA REALCE IRIS PLUS 4H BLANCO-HORNO 50L-ENCEND AUTOM;REALCE;COCINAS A GAS;COCCION;980.000;
etl.bascs.impala.clases.Producto@6ea39a3a;63;COREAIRPL26777-BK;RE61;7899639799552;20;COCINA REALCE IRIS PLUS 4H NEGRO-HORNO 50L-ENCEND AUTOM;REALCE;COCINAS A GAS;COCCION;980.000;
etl.bascs.impala.clases.Producto@76bfa07b;64;COREAIRPL26778-SL;RE62;7899639799545;20;COCINA REALCE IRIS PLUS 4H SILVER/INOX-HORNO 50L-ENCEND AUTOM;REALCE;COCINAS A GAS;COCCION;1.140.000;
etl.bascs.impala.clases.Producto@2166e039;65;COREAIRPL26776-W;RE60;7899639799569;5;COCINA REALCE IRIS PLUS 5H INOX BLANCO;REALCE;COCINAS A GAS;COCCION;1.350.000;
etl.bascs.impala.clases.Producto@55133160;66;COREAIRPL26773-SL;RE57;7899639799590;5;COCINA REALCE IRIS PLUS 5H T/C GRILL INOX/SILVER 220V;REALCE;COCINAS A GAS;COCCION;1.880.000;
etl.bascs.impala.clases.Producto@279303b2;67;COREAIRPL26774-BK;RE58;7899639799583;5;COCINA REALCE IRIS PLUS 5H T/C GRILL NEGRO 220V;REALCE;COCINAS A GAS;COCCION;1.350.000;
etl.bascs.impala.clases.Producto@2c24d343;68;COREAZEGL26781-WBK;RE65;;5;COCINA REALCE ZEUS GLASS 5H BLANCO/NEGRO;REALCE;COCINAS A GAS;COCCION;0;
etl.bascs.impala.clases.Producto@3a5589d6;69;COREAZEGL26782-SL;RE66;;5;COCINA REALCE ZEUS GLASS 5H INOX SILVER;REALCE;COCINAS A GAS;COCCION;1.510.000;
etl.bascs.impala.clases.Producto@760137cd;70;EDPCPBT321614;PH235;8710103844136;50;CORTABARBA PHILIPS BT3216/14 CUCHILLAS INOX 60M/1H 20 POS 1 ACC 240V;PHILIPS;CORTAPELOS;CUIDADO PERSONAL;395.000;
etl.bascs.impala.clases.Producto@49b0242c;71;EDPCHC350515;PH277;8710103855415;50;CORTAPELO PHILIPS HC3505/15 SERIES 3000 13 POS INOX USO CON CABLE 240V;PHILIPS;CORTAPELOS;CUIDADO PERSONAL;190.000;
etl.bascs.impala.clases.Producto@43845892;72;EDPCBRE22500-RT;PH265;8710103904465;50;DEPILADORA PHILIPS BRE225/00 SATINELLE PIERNAS 2VL CON CABLE 220V;PHILIPS;DEPILADORAS;CUIDADO PERSONAL;220.000;
etl.bascs.impala.clases.Producto@5589620d;73;EDPCBRE25500-RT;PH266;8710103883975;50;DEPILADORA PHILIPS BRE255/00 OPTI-LIGHT 3 ACC PIERNAS 2VL CABLE 220V;PHILIPS;DEPILADORAS;CUIDADO PERSONAL;450.000;
etl.bascs.impala.clases.Producto@2a49982e;74;EDPCBRE28500-RT;PH264;;50;DEPILADORA PHILIPS BRE285/00 OPTI-LIGHT 7 ACC PIERNAS 2VL CABLE 220V;PHILIPS;DEPILADORAS;CUIDADO PERSONAL;750.000;
etl.bascs.impala.clases.Producto@6210580f;75;HEMHME350BL;MB38;7797102523997;5;HELADERA MABE HME350BL FRIO/HUMEDO 350L 2 PUERTAS BLANCA;MABE;HELADERAS FRIO HUMEDO;REFRIGERACION;2.550.000;
etl.bascs.impala.clases.Producto@3b1dc17;76;HEMRMC215PURB0;MB9;757638362948;0;HELADERA MABE RMC215 BLANCA FRIO/HUMEDO 2 PUERTAS 200L;MABE;HELADERAS FRIO HUMEDO;REFRIGERACION;2.400.000;
etl.bascs.impala.clases.Producto@1db65f66;77;EDBDKE22591CL;BD55;050875824638;50;HERVIDORA B+D  MOD. KE22591-CL 1.7L 2400W;BLACK & DECKER;JARRAS ELECTRICAS;PEQUEÑOS ELECTRODOMESTICOS;230.000;
etl.bascs.impala.clases.Producto@7bd83c16;78;EDPJHD935090-RT;PH256;8710103828686;50;HERVIDORA ELECTRICA PHILIPS HD9350/90 INOX 1.7L 1850W 220V;PHILIPS;JARRAS ELECTRICAS;PEQUEÑOS ELECTRODOMESTICOS;330.000;
etl.bascs.impala.clases.Producto@1be8d342;79;HOREAER26756-W;RE41;7899639799750;50;HORNO ELECT REALCE EROS BLANCO 44L-1400W-50 A 300 GRADOS;REALCE;HORNOS DE MESA;COCCION;780.000;
etl.bascs.impala.clases.Producto@16b4e54c;80;HOREAER26759BK-R;RE43;7899639799736;50;HORNO ELECT REALCE EROS NEGRO/ROJO 44L 220V;REALCE;HORNOS DE MESA;COCCION;780.000;
etl.bascs.impala.clases.Producto@3956c593;81;EDAWJAW-JD5700-R-RT;AW127;7453041022150;5;JARRA ELECTRICA AIWA AW-JD5700R 1.5L INOX ROJA 220/240V 50/60HZ;AIWA;JARRAS ELECTRICAS;PEQUEÑOS ELECTRODOMESTICOS;265.000;
etl.bascs.impala.clases.Producto@3546623;82;EDAWJD5801;AW191;7453041022143;5;JARRA ELECTRICA AIWA AW-JD5801 DE VIDRIO 1.7L;AIWA;JARRAS ELECTRICAS;PEQUEÑOS ELECTRODOMESTICOS;165.000;
etl.bascs.impala.clases.Producto@5e7bc7c8;83;EDBLBD210GTCL-RT;BD52;050875824737;50;LICUADORA B+D DURAPRO TURQUESA BLBD210GT-CL JARRA DE VIDRIO 1.25 LTS 10 VELOCIDA;BLACK & DECKER;LICUADORAS;PEQUEÑOS ELECTRODOMESTICOS;300.000;
etl.bascs.impala.clases.Producto@6f54c7ce;84;EDBDLBL1140MS-CL-RT;BD70;050875825093;50;LICUADORA B+D PULVERIX INOX BL1140MS-CL JARRA DE VIDRIO 1.5 LTS 12 VELOCIDADES 7;BLACK & DECKER;LICUADORAS;PEQUEÑOS ELECTRODOMESTICOS;370.000;
etl.bascs.impala.clases.Producto@6021edea;85;EDBDLBL1840MS-CL-RT;BD69;050875825130;50;LICUADORA B+D PULVERIX INOX BL1840MS-CL JARRA DE VIDRIO 1.5 LTS 3 VELOCIDADES 70;BLACK & DECKER;LICUADORAS;PEQUEÑOS ELECTRODOMESTICOS;500.000;
etl.bascs.impala.clases.Producto@4064fab3;86;EDBDLBL4000RAR;BD3;50875815773;5;LICUADORA B+D XL BLAST ROJA BL4000R-AR JARRA DE ACRILICO 2 LTS 600W FORRO DE ENFRIAMIENTO;BLACK & DECKER;LICUADORAS;PEQUEÑOS ELECTRODOMESTICOS;683.000;
etl.bascs.impala.clases.Producto@402130f0;87;EDPHLHR210000-RT;PH171;8710103594918;50;LICUADORA PHILIPS HR2100/00 JAR ACRIL REFOR 1/5L 2VEL+TUR PROBLEND4 400W220V;PHILIPS;LICUADORAS;PEQUEÑOS ELECTRODOMESTICOS;350.000;
etl.bascs.impala.clases.Producto@982e58d;88;EDPHLHR210500-RT;PH173;8710103612476;20;LICUADORA PHILIPS HR2105/00 JAR VIDRIO 1/5L 2VEL+TUR PROBLEND4 400W220V;PHILIPS;LICUADORAS;PEQUEÑOS ELECTRODOMESTICOS;413.000;
etl.bascs.impala.clases.Producto@66a307ea;89;EDPHLHR365200-RT;PH201;8710103825944;50;LICUADORA PHILIPS HR3652/00 JAR VIDRIO PROBL 6 3D INOX 1400W220V;PHILIPS;LICUADORAS;PEQUEÑOS ELECTRODOMESTICOS;1.450.000;
etl.bascs.impala.clases.Producto@175c8ef;90;EDPLRI211090;PH252;8710103911692;50;LICUADORA PHILIPS WALITA RI2110/90 2V PROBLEND 4 550W220V;PHILIPS;LICUADORAS;PEQUEÑOS ELECTRODOMESTICOS;245.000;
etl.bascs.impala.clases.Producto@489ace81;91;ELAWMM23S50;AW142;7453041022457;5;MICROONDAS AIWA AW-MM23S50 INOX DIGITAL 23LTS C/ GRILL 800W (CH);AIWA;MICROONDAS DE MESA;COCCION;860.000;
etl.bascs.impala.clases.Producto@56aaf492;92;ELAWMM28S50;AW143;7453041022471;0;MICROONDAS AIWA AW-MM28S50 INOX DIGITAL 28LTL C/ GRIL 900W (CH);AIWA;MICROONDAS DE MESA;COCCION;1.100.000;
etl.bascs.impala.clases.Producto@28c835fa;93;MOAW24FHDM4-RT;AW137;7453041023881;5;MONITOR PLANO FLAT AIWA 24" AW-FHDM4 - MARCO DELGADO - RESOLUC 1920x1080;AIWA;LEDS;TV/AUDIO/VIDEO;1.320.000;
etl.bascs.impala.clases.Producto@7d5a2bc;94;MOAW27FHDM4-RT;AW138;7453041023898;0;MONITOR PLANO FLAT AIWA 27" AW-FHDM4 - MARCO DELGADO - RESOLUC 1920x1080;AIWA;LEDS;TV/AUDIO/VIDEO;1.640.000;
etl.bascs.impala.clases.Producto@19259a01;95;EDPCMG371115;PH330;8710103842699;50;MULTIGROOM PHILIPS MG3711/15 DUAL CUT 6 ACC LAVABLE 60M/16H 220V;PHILIPS;CORTAPELOS;CUIDADO PERSONAL;340.000;
etl.bascs.impala.clases.Producto@182ae3d3;96;EDPCPMG573015;PH221;8710103794806;50;MULTIGROOM PHILIPS MG5730/15 DUAL CUT 11 ACC LAVABLE 80M/16H 100-240V;PHILIPS;CORTAPELOS;CUIDADO PERSONAL;510.000;
etl.bascs.impala.clases.Producto@71a472c9;97;EDBORC5225CL-RT;BD37;050875816213;50;OLLA ELECTRICA B+D RC5225-CL ANTIADHERENTE FUN CALIENTA 5 LTS 220V;BLACK & DECKER;OLLAS ELECTRICAS;PEQUEÑOS ELECTRODOMESTICOS;350.000;
etl.bascs.impala.clases.Producto@5b4efe03;98;EDPCBHB86200-RT;PH268;8710103819462;50;ONDULADOR PHILIPS BHB862/00 CILINDRO 16MM CERAMICA 200?C 220V;PHILIPS;ONDULADORAS;CUIDADO PERSONAL;270.000;
etl.bascs.impala.clases.Producto@6e0e92f9;99;ELAWF360BK-RT;AW62;;0;PARLANTE ACTIVO AIWA AW-F360-BK BT 50W RMS NEGRO;AIWA;PARLANTES ACT. BATERIA;TV/AUDIO/VIDEO;790.000;
etl.bascs.impala.clases.Producto@21f5c090;100;ELAWPOK300D;AW171;7453041022686;50;PARLANTE ACTIVO AIWA AW-POK300D MMEDIA BT 3000W PMPO DJ C/ MICR (CH);AIWA;PARLANTES ACT. ELECTRICOS;TV/AUDIO/VIDEO;3.450.000;
etl.bascs.impala.clases.Producto@7395cc5d;101;ELAWPOK100BK-RT;AW136;7453041022020;5;PARLANTE ACTV. AIWA AW-POK100 MMEDIA 700W PMPO C/ MICR BT/FM/USB (CH);AIWA;PARLANTES ACT. ELECTRICOS;TV/AUDIO/VIDEO;1.570.000;
